region,date,cases,deaths
Belgium,2020-06-18,89,12
Belgium,2020-06-09,122,14
Belgium,2020-06-08,154,15
Belgium,2020-06-07,165,14
Belgium,2020-06-06,140,18
Belgium,2020-06-05,82,26
Belgium,2020-06-04,70,17
Belgium,2020-06-03,98,19
Belgium,2020-06-02,136,19
Belgium,2020-06-01,195,14
Belgium,2020-05-30,212,55
Belgium,2020-05-29,257,24
Belgium,2020-05-28,137,30
Belgium,2020-05-27,113,22
Belgium,2020-05-26,250,32
Belgium,2020-05-25,282,43
Belgium,2020-05-24,299,25
Belgium,2020-05-23,276,26
Belgium,2020-05-22,252,36
Belgium,2020-05-21,192,42
Belgium,2020-05-20,232,28
Belgium,2020-05-19,279,28
Belgium,2020-05-18,291,47
Belgium,2020-05-17,345,46
Belgium,2020-05-16,356,56
Belgium,2020-05-15,307,60
Belgium,2020-05-14,202,82
Belgium,2020-05-13,330,54
Belgium,2020-05-12,368,51
Belgium,2020-05-11,485,75
Belgium,2020-05-10,585,60
Belgium,2020-05-09,591,106
Belgium,2020-05-08,639,76
Belgium,2020-05-07,272,323
Belgium,2020-05-06,242,92
Belgium,2020-05-05,361,80
Belgium,2020-05-04,389,79
Belgium,2020-05-03,485,62
Belgium,2020-05-02,513,109
Belgium,2020-05-01,660,93
Belgium,2020-04-30,525,170
Belgium,2020-04-29,647,124
Belgium,2020-04-28,553,113
Belgium,2020-04-27,809,177
Belgium,2020-04-26,1032,238
Belgium,2020-04-25,1496,189
Belgium,2020-04-24,908,228
Belgium,2020-04-23,933,264
Belgium,2020-04-22,973,170
Belgium,2020-04-21,1487,145
Belgium,2020-04-20,1313,230
Belgium,2020-04-19,1045,290
Belgium,2020-04-18,1329,306
Belgium,2020-04-17,1236,417
Belgium,2020-04-16,2454,283
Belgium,2020-04-15,530,254
Belgium,2020-04-14,942,303
Belgium,2020-04-13,1629,254
Belgium,2020-04-12,1351,327
Belgium,2020-04-11,1684,496
Belgium,2020-04-10,1580,283
Belgium,2020-04-09,1209,205
Belgium,2020-04-08,1380,403
Belgium,2020-04-07,1123,185
Belgium,2020-04-06,1260,164
Belgium,2020-04-05,1661,140
Belgium,2020-04-04,1422,132
Belgium,2020-04-03,1384,183
Belgium,2020-04-02,1189,123
Belgium,2020-04-01,876,192
Belgium,2020-03-31,1063,82
Belgium,2020-03-30,1702,78
Belgium,2020-03-29,1850,64
Belgium,2020-03-28,1049,69
Belgium,2020-03-27,1298,42
Belgium,2020-03-26,668,56
Belgium,2020-03-25,526,34
Belgium,2020-03-24,342,13
Belgium,2020-03-22,558,30
Belgium,2020-03-21,462,16
Belgium,2020-03-18,158,0
Belgium,2020-03-16,197,0
Belgium,2020-03-14,160,0
Belgium,2020-03-13,85,0
Belgium,2020-03-11,28,0
Belgium,2020-03-10,39,0
Belgium,2020-03-09,31,0
Belgium,2020-03-08,60,0
Belgium,2020-03-07,59,0
Belgium,2020-03-06,27,0
Belgium,2020-03-05,10,0
Belgium,2020-03-04,5,0
Belgium,2020-03-03,6,0
Belgium,2020-03-02,1,0
Belgium,2020-03-01,0,0
Belgium,2020-02-29,0,0
Belgium,2020-02-28,0,0
Belgium,2020-02-27,0,0
Belgium,2020-02-26,0,0
Belgium,2020-02-25,0,0
Belgium,2020-02-24,0,0
Belgium,2020-02-23,0,0
Belgium,2020-02-22,0,0
Belgium,2020-02-21,0,0
Belgium,2020-02-20,0,0
Belgium,2020-02-19,0,0
Belgium,2020-02-18,0,0
Belgium,2020-02-17,0,0
Belgium,2020-02-16,0,0
Belgium,2020-02-15,0,0
Belgium,2020-02-14,0,0
Belgium,2020-02-13,0,0
Belgium,2020-02-12,0,0
Belgium,2020-02-11,0,0
Belgium,2020-02-10,0,0
Belgium,2020-02-09,0,0
Belgium,2020-02-08,0,0
Belgium,2020-02-07,0,0
Belgium,2020-02-06,0,0
Belgium,2020-02-05,0,0
Belgium,2020-02-04,1,0
Belgium,2020-02-03,0,0
Belgium,2020-02-02,0,0
Belgium,2020-02-01,0,0
Belgium,2020-01-31,0,0
Belgium,2020-01-30,0,0
Belgium,2020-01-29,0,0
Belgium,2020-01-28,0,0
Belgium,2020-01-27,0,0
Belgium,2020-01-26,0,0
Belgium,2020-01-25,0,0
Belgium,2020-01-24,0,0
Belgium,2020-01-23,0,0
Belgium,2020-01-22,0,0
Belgium,2020-01-21,0,0
Belgium,2020-01-20,0,0
Belgium,2020-01-19,0,0
Belgium,2020-01-18,0,0
Belgium,2020-01-17,0,0
Belgium,2020-01-16,0,0
Belgium,2020-01-15,0,0
Belgium,2020-01-14,0,0
Belgium,2020-01-13,0,0
Belgium,2020-01-12,0,0
Belgium,2020-01-11,0,0
Belgium,2020-01-10,0,0
Belgium,2020-01-09,0,0
Belgium,2020-01-08,0,0
Belgium,2020-01-07,0,0
Belgium,2020-01-06,0,0
Belgium,2020-01-05,0,0
Belgium,2020-01-04,0,0
Belgium,2020-01-03,0,0
Belgium,2020-01-02,0,0
Belgium,2020-01-01,0,0
Belgium,2019-12-31,0,0
Belgium,2020-03-17,199,1
Belgium,2020-03-15,130,1
Belgium,2020-06-17,55,2
Belgium,2020-03-12,47,3
Belgium,2020-06-14,99,4
Belgium,2020-06-15,111,5
Belgium,2020-06-16,71,6
Belgium,2020-06-12,142,7
Belgium,2020-03-20,309,7
Belgium,2020-06-19,104,8
Belgium,2020-03-23,586,8
Belgium,2020-03-19,243,9
Belgium,2020-06-13,108,10
Belgium,2020-06-11,132,10
Belgium,2020-06-10,89,10
Belgium,2020-05-31,125,10
New York City,2020-04-04,6333,573
New York City,2020-04-05,4452,425
New York City,2020-04-06,4827,1211
New York City,2020-04-18,4049,128
New York City,2020-03-29,3064,166
New York City,2020-03-30,4392,211
New York City,2020-03-31,5143,273
New York City,2020-04-01,4396,373
New York City,2020-04-02,4486,304
New York City,2020-04-03,5541,496
New York City,2020-04-07,4945,774
New York City,2020-04-08,5175,810
New York City,2020-04-09,5454,808
New York City,2020-04-10,5575,732
New York City,2020-04-11,6138,753
New York City,2020-04-12,5099,714
New York City,2020-04-13,3767,648
New York City,2020-04-14,3926,761
New York City,2020-04-15,8021,709
New York City,2020-04-16,4970,543
New York City,2020-04-17,4380,174
New York City,2020-04-19,3318,1221
New York City,2020-04-20,2511,442
New York City,2020-04-21,2666,439
New York City,2020-04-22,3240,446
New York City,2020-04-23,3540,402
New York City,2020-04-24,4754,393
New York City,2020-04-25,4770,392
New York City,2020-04-26,3255,340
New York City,2020-04-27,2357,335
New York City,2020-04-28,2024,385
New York City,2020-04-29,2637,391
New York City,2020-04-30,2660,212
New York City,2020-05-01,2147,122
New York City,2020-05-02,2559,90
New York City,2020-05-03,2238,430
New York City,2020-05-04,1306,129
New York City,2020-05-05,1284,139
New York City,2020-05-06,1452,274
New York City,2020-05-07,1883,148
New York City,2020-05-08,1504,69
New York City,2020-05-09,1506,114
New York City,2020-05-10,993,112
New York City,2020-05-11,890,127
New York City,2020-05-12,774,173
New York City,2020-05-13,1074,79
New York City,2020-05-14,1269,89
New York City,2020-05-15,1809,68
New York City,2020-05-16,1009,99
New York City,2020-05-17,1005,143
New York City,2020-05-18,628,84
New York City,2020-05-19,596,78
New York City,2020-05-20,682,46
New York City,2020-05-21,1115,69
New York City,2020-05-22,791,78
New York City,2020-05-23,764,52
New York City,2020-05-24,869,76
New York City,2020-05-25,638,43
New York City,2020-05-26,542,55
New York City,2020-05-27,670,49
New York City,2020-05-28,1073,51
New York City,2020-05-29,946,65
New York City,2020-05-30,739,31
New York City,2020-05-31,546,59
New York City,2020-06-01,465,40
New York City,2020-06-02,645,42
New York City,2020-06-03,493,38
New York City,2020-06-04,539,64
New York City,2020-06-05,501,28
New York City,2020-06-06,546,32
New York City,2020-06-07,454,29
New York City,2020-06-08,394,33
New York City,2020-06-09,347,40
New York City,2020-06-10,415,40
New York City,2020-06-11,387,32
New York City,2020-06-12,436,51
New York City,2020-06-13,535,32
New York City,2020-06-14,385,27
New York City,2020-06-15,384,22
New York City,2020-06-16,331,19
New York City,2020-06-17,344,26
New York City,2020-06-18,327,28
New York City,2020-03-22,2839,44
New York City,2020-03-23,3264,36
New York City,2020-03-24,2614,75
New York City,2020-03-25,5118,100
New York City,2020-03-26,3121,105
New York City,2020-03-27,2327,125
New York City,2020-03-28,5410,265
New York City,2020-03-09,6,0
New York City,2020-03-10,17,0
New York City,2020-03-11,15,0
New York City,2020-03-12,44,0
New York City,2020-03-13,59,0
New York City,2020-03-14,114,1
New York City,2020-03-15,61,4
New York City,2020-03-16,134,2
New York City,2020-03-17,182,4
New York City,2020-03-18,698,14
New York City,2020-03-19,1133,6
New York City,2020-03-20,1942,23
New York City,2020-03-21,1807,21
New York City,2020-03-05,2,0
New York City,2020-03-06,1,0
New York City,2020-03-07,7,0
New York City,2020-03-08,2,0
New York City,2020-03-02,0,0
New York City,2020-03-03,1,0
New York City,2020-03-04,0,0
Washington,2020-01-22,0,0
Washington,2020-01-23,0,0
Washington,2020-01-24,0,0
Washington,2020-01-25,0,0
Washington,2020-01-26,0,0
Washington,2020-01-27,0,0
Washington,2020-01-28,0,0
Washington,2020-01-29,0,0
Washington,2020-01-30,0,0
Washington,2020-01-31,0,0
Washington,2020-02-01,0,0
Washington,2020-02-02,0,0
Washington,2020-02-03,0,0
Washington,2020-02-04,0,0
Washington,2020-02-05,0,0
Washington,2020-02-06,0,0
Washington,2020-02-07,0,0
Washington,2020-02-08,0,0
Washington,2020-02-09,0,0
Washington,2020-02-10,0,0
Washington,2020-02-11,0,0
Washington,2020-02-12,0,0
Washington,2020-02-13,0,0
Washington,2020-02-14,0,0
Washington,2020-02-15,0,0
Washington,2020-02-16,0,0
Washington,2020-02-17,0,0
Washington,2020-02-18,0,0
Washington,2020-02-19,0,0
Washington,2020-02-20,0,0
Washington,2020-02-21,0,0
Washington,2020-02-22,0,0
Washington,2020-02-23,0,0
Washington,2020-02-24,4,0
Washington,2020-02-25,0,0
Washington,2020-02-26,0,0
Washington,2020-02-27,0,0
Washington,2020-02-28,2,0
Washington,2020-02-29,3,1
Washington,2020-03-01,7,2
Washington,2020-03-02,6,3
Washington,2020-03-03,9,4
Washington,2020-03-04,15,1
Washington,2020-03-05,28,0
Washington,2020-03-06,11,1
Washington,2020-03-07,24,4
Washington,2020-03-08,31,3
Washington,2020-03-09,38,3
Washington,2020-03-10,100,2
Washington,2020-03-11,59,5
Washington,2020-03-12,81,3
Washington,2020-03-13,92,5
Washington,2020-03-14,98,3
Washington,2020-03-15,66,2
Washington,2020-03-16,119,6
Washington,2020-03-17,114,6
Washington,2020-03-18,118,14
Washington,2020-03-19,202,7
Washington,2020-03-20,176,8
Washington,2020-03-21,251,12
Washington,2020-03-22,189,2
Washington,2020-03-23,257,13
Washington,2020-03-24,368,13
Washington,2020-03-25,116,7
Washington,2020-03-26,623,21
Washington,2020-03-27,562,26
Washington,2020-03-28,541,14
Washington,2020-03-29,586,16
Washington,2020-03-30,283,14
Washington,2020-03-31,113,5
Washington,2020-04-01,296,23
Washington,2020-04-02,997,23
Washington,2020-04-03,381,21
Washington,2020-04-04,532,25
Washington,2020-04-05,486,26
Washington,2020-04-06,400,39
Washington,2020-04-07,298,26
Washington,2020-04-08,415,21
Washington,2020-04-09,511,26
Washington,2020-04-10,279,27
Washington,2020-04-11,339,15
Washington,2020-04-12,187,13
Washington,2020-04-13,133,14
Washington,2020-04-14,164,27
Washington,2020-04-15,95,20
Washington,2020-04-16,374,16
Washington,2020-04-17,299,22
Washington,2020-04-18,371,19
Washington,2020-04-19,14,8
Washington,2020-04-20,391,24
Washington,2020-04-21,155,22
Washington,2020-04-22,196,13
Washington,2020-04-23,375,21
Washington,2020-04-24,216,14
Washington,2020-04-25,368,12
Washington,2020-04-26,179,14
Washington,2020-04-27,214,14
Washington,2020-04-28,207,21
Washington,2020-04-29,325,13
Washington,2020-04-30,324,17
Washington,2020-05-01,320,7
Washington,2020-05-02,249,4
Washington,2020-05-03,560,7
Washington,2020-05-04,104,6
Washington,2020-05-05,187,17
Washington,2020-05-06,639,18
Washington,2020-05-07,314,22
Washington,2020-05-08,290,12
Washington,2020-05-09,152,10
Washington,2020-05-10,152,14
Washington,2020-05-11,391,18
Washington,2020-05-12,210,15
Washington,2020-05-13,110,5
Washington,2020-05-14,369,14
Washington,2020-05-15,270,17
Washington,2020-05-16,205,7
Washington,2020-05-17,178,1
Washington,2020-05-18,242,4
Washington,2020-05-19,232,22
Washington,2020-05-20,122,3
Washington,2020-05-21,170,9
Washington,2020-05-22,246,7
Washington,2020-05-23,214,1
Washington,2020-05-24,249,7
Washington,2020-05-25,276,7
Washington,2020-05-26,273,15
Washington,2020-05-27,287,15
Washington,2020-05-28,266,10
Washington,2020-05-29,286,4
Washington,2020-05-30,241,6
Washington,2020-05-31,196,0
Washington,2020-06-01,458,7
Washington,2020-06-02,336,6
Washington,2020-06-03,168,6
Washington,2020-06-04,223,5
Washington,2020-06-05,547,10
Washington,2020-06-06,221,3
Washington,2020-06-07,297,0
Washington,2020-06-08,529,5
Washington,2020-06-09,203,13
Washington,2020-06-10,144,2
Washington,2020-06-11,232,15
Washington,2020-06-12,404,9
Washington,2020-06-13,344,9
Washington,2020-06-14,215,4
Washington,2020-06-15,442,3
Washington,2020-06-16,372,11
Washington,2020-06-17,321,-5
Washington,2020-06-18,393,17
Seattle,2020-04-07,155,8
Seattle,2020-04-08,202,14
Seattle,2020-04-09,198,14
Seattle,2020-04-10,231,19
Seattle,2020-04-11,145,7
Seattle,2020-04-12,164,8
Seattle,2020-04-13,123,4
Seattle,2020-04-14,71,7
Seattle,2020-04-15,77,9
Seattle,2020-04-16,112,8
Seattle,2020-04-17,93,11
Seattle,2020-04-18,161,9
Seattle,2020-04-19,109,6
Seattle,2020-03-24,112,7
Seattle,2020-03-25,82,6
Seattle,2020-03-26,219,10
Seattle,2020-03-27,251,16
Seattle,2020-03-28,249,11
Seattle,2020-03-29,84,8
Seattle,2020-03-30,169,6
Seattle,2020-03-31,0,0
Seattle,2020-04-01,166,14
Seattle,2020-04-02,160,11
Seattle,2020-04-03,131,11
Seattle,2020-04-04,111,16
Seattle,2020-04-05,269,6
Seattle,2020-04-06,164,14
Seattle,2020-04-20,121,14
Seattle,2020-04-21,86,12
Seattle,2020-04-22,70,7
Seattle,2020-04-23,120,5
Seattle,2020-04-24,120,7
Seattle,2020-04-25,122,8
Seattle,2020-04-26,101,9
Seattle,2020-04-27,78,8
Seattle,2020-04-28,64,11
Seattle,2020-04-29,128,9
Seattle,2020-04-30,126,10
Seattle,2020-05-01,99,3
Seattle,2020-05-02,98,5
Seattle,2020-05-03,113,5
Seattle,2020-05-04,-36,4
Seattle,2020-05-05,71,6
Seattle,2020-05-06,117,5
Seattle,2020-05-07,93,6
Seattle,2020-05-08,77,5
Seattle,2020-05-09,60,5
Seattle,2020-05-10,46,10
Seattle,2020-05-11,69,5
Seattle,2020-05-12,64,6
Seattle,2020-05-13,42,3
Seattle,2020-05-14,86,0
Seattle,2020-05-15,53,7
Seattle,2020-05-16,80,5
